IdentifiantImmeuble;CodeVoieRivoliImmeuble;CodeInseeImmeuble;CodePostalImmeuble;CommuneImmeuble;CodeAdresseImmeuble;TypeVoieImmeuble;NomVoieImmeuble;NumeroVoieImmeuble;ComplementNumeroVoieImmeuble;BatimentImmeuble;NombreLogementsAdresseIPE;EtatImmeuble;DateSignatureConvention;GestionnaireImmeuble;CodePostalGestionnaire;CommuneGestionnaire;TypeVoieGestionnaire;NomVoieGestionnaire;NumeroVoieGestionnaire;ComplementNumeroVoieGestionnaire;CodeAdresseGestionnaire;SiretGestionnaire;DateCablageAdresse;DateDerniereModification;ReferencePM;TypeIngenierie;FibreDedieeLibre;TypeImmeuble;TypeProjectionGeographique;CoordonneeImmeubleX;CoordonneeImmeubleY;AccordGestionnaireImmeubleNecessaire;TypeZone;DateMiseEnServiceCommercialeImmeuble;ImmeubleNeuf;DatePrevLivraisonImmeubleNeuf;CodeHexacleVoie;DateDebutAcceptationCmdAcces;DateDebutFournitureCRCmdAcces;ReferencePBO;DateMADPBO;NombrelogementsPBO;TypePBO;TypeRaccoPBPTO;ConditionsSyndic
IMB/01004/X/00YD;0550;01004;01500;Ambérieu-en-Bugey;01004224CB;Rue;de la République;106;;;1;CIBLE;;;;;;;;;;;;201711140000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882171.66;6543214.57;N;3;;;;010042224L;;;;;;;aérien;
IMB/01004/X/00YE;0550;01004;01500;Ambérieu-en-Bugey;01004224CC;Rue;de la République;107;;;1;CIBLE;;;;;;;;;;;;201711140000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882243.24;6542939.19;N;3;;;;010042224L;;;;;;;aérien;
IMB/01004/X/00YF;0550;01004;01500;Ambérieu-en-Bugey;010042292S;Rue;de la République;109;;;6;CIBLE;;AGENCE DESBENOIT;01500;Ambérieu-en-Bugey;Rue;Alexandre Bérard;6;;;;;201601080000;FI-01004-000B;MonofibreZMD;;IMMEUBLE;RGF93;882235.36;6542953.24;O;3;;;;010042224L;;;;;;;;
IMB/01004/X/00YG;0550;01004;01500;Ambérieu-en-Bugey;010042292T;Rue;de la République;111;;;1;CIBLE;;;;;;;;;;;;201711140000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882214.48;6542964.41;N;3;;;;010042224L;;;;;;;aérien;
IMB/01004/X/00YH;0550;01004;01500;Ambérieu-en-Bugey;01004224CG;Rue;de la République;114;;;1;CIBLE;;;;;;;;;;;;201509120000;FI-01004-000C;MonofibreZMD;;PAVILLON;RGF93;882139.41;6543298.77;N;3;;;;010042224L;;;;;;;;
IMB/01004/X/00YI;0550;01004;01500;Ambérieu-en-Bugey;01004224CH;Rue;de la République;115;;;1;CIBLE;;;;;;;;;;;;201711140000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882205.57;6542974.48;N;3;;;;010042224L;;;;;;;aérosouterrain;
IMB/01004/X/00YJ;0550;01004;01500;Ambérieu-en-Bugey;01004224CI;Rue;de la République;116;;;1;CIBLE;;;;;;;;;;;;201509120000;FI-01004-000C;MonofibreZMD;;PAVILLON;RGF93;882137.54;6543313.77;N;3;;;;010042224L;;;;;;;;
IMB/01004/X/00YK;0550;01004;01500;Ambérieu-en-Bugey;01004224CL;Rue;de la République;117;;;26;CIBLE;;;;;;;;;;;;201711140000;FI-01004-000B;MonofibreZMD;;IMMEUBLE;RGF93;882205.72;6542991.46;N;3;;;;010042224L;;;;;;;aérien;
IMB/01004/X/00YL;0550;01004;01500;Ambérieu-en-Bugey;01004224CM;Rue;de la République;119;;;1;CIBLE;;;;;;;;;;;;201711140000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882197.82;6543002.52;N;3;;;;010042224L;;;;;;;aérien;
IMB/01004/X/00YM;0550;01004;01500;Ambérieu-en-Bugey;01004224CN;Rue;de la République;120;;;1;CIBLE;;;;;;;;;;;;201509120000;FI-01004-000C;MonofibreZMD;;PAVILLON;RGF93;882160.78;6543344.55;N;3;;;;010042224L;;;;;;;;
